noOpt,opt,size,alpha,rate,distance
102.0,102.0,10,0.05,2,500
84.0,84.0,10,0.05,2,500
75.0,75.0,10,0.05,2,500
135.0,135.0,10,0.05,2,500
150.0,172.0,10,0.05,2,500
112.0,112.0,10,0.05,2,500
134.0,134.0,10,0.05,2,500
66.0,66.0,10,0.05,2,500
182.0,182.0,10,0.05,2,500
176.0,176.0,10,0.05,2,500
168.0,168.0,20,0.05,2,500
154.0,142.0,20,0.05,2,500
54.0,54.0,20,0.05,2,500
68.0,68.0,20,0.05,2,500
198.0,199.0,20,0.05,2,500
104.0,104.0,20,0.05,2,500
158.0,158.0,20,0.05,2,500
164.0,161.0,20,0.05,2,500
212.0,187.0,20,0.05,2,500
157.0,137.0,20,0.05,2,500
152.0,152.0,30,0.05,2,500
156.0,156.0,30,0.05,2,500
151.0,151.0,30,0.05,2,500
151.0,151.0,30,0.05,2,500
74.0,74.0,30,0.05,2,500
101.0,101.0,30,0.05,2,500
140.0,144.0,30,0.05,2,500
164.0,164.0,30,0.05,2,500
67.0,67.0,30,0.05,2,500
65.0,65.0,30,0.05,2,500
194.0,194.0,40,0.05,2,500
157.0,180.0,40,0.05,2,500
174.0,174.0,40,0.05,2,500
219.0,219.0,40,0.05,2,500
175.0,173.0,40,0.05,2,500
93.0,93.0,40,0.05,2,500
137.0,137.0,40,0.05,2,500
141.0,141.0,40,0.05,2,500
152.0,152.0,40,0.05,2,500
272.0,272.0,40,0.05,2,500
328.0,328.0,50,0.05,2,500
236.0,236.0,50,0.05,2,500
168.0,168.0,50,0.05,2,500
327.0,323.0,50,0.05,2,500
183.0,183.0,50,0.05,2,500
276.0,276.0,50,0.05,2,500
211.0,211.0,50,0.05,2,500
146.0,146.0,50,0.05,2,500
43.0,43.0,50,0.05,2,500
246.0,218.0,50,0.05,2,500
104.0,104.0,60,0.05,2,500
67.0,67.0,60,0.05,2,500
374.0,341.0,60,0.05,2,500
291.0,291.0,60,0.05,2,500
115.0,121.0,60,0.05,2,500
386.0,383.0,60,0.05,2,500
150.0,116.0,60,0.05,2,500
234.0,234.0,60,0.05,2,500
355.0,256.0,60,0.05,2,500
226.0,226.0,60,0.05,2,500
235.0,231.0,70,0.05,2,500
120.0,120.0,70,0.05,2,500
104.0,104.0,70,0.05,2,500
216.0,217.0,70,0.05,2,500
118.0,118.0,70,0.05,2,500
